batch,Step,Period,TransNum,ActualSurplus,Efficiency,MarketPrice,OA,OB,TheoreticalSurplus
1,8,1,1,8.600000000000001,0.2606060606060607,30.280228117179334,27.419962001051537,30.280228117179334,33.0
1,35,1,2,19.400000000000002,0.5878787878787879,28.45613799460688,28.45613799460688,30.111307536642386,33.0
1,58,1,3,24.400000000000002,0.7393939393939395,27.126451689182772,26.806607077588616,27.126451689182772,33.0
1,66,1,4,30.8,0.9333333333333333,27.105167604564553,27.105167604564553,27.13318639336732,33.0
1,83,1,5,32.0,0.9696969696969697,26.877784584982894,26.85272759649884,26.877784584982894,33.0
1,505,2,1,42.2,0.6393939393939394,24.917773096254635,24.917773096254635,28.510506673761128,33.0
1,508,2,2,44.0,0.6666666666666666,25.480332822647917,25.480332822647917,25.880762059298117,33.0
1,514,2,3,48.0,0.7272727272727273,25.414550186323186,25.412390389519544,25.414550186323186,33.0
1,522,2,4,56.400000000000006,0.8545454545454546,25.429362722036505,25.295172707815386,25.429362722036505,33.0
1,537,2,5,63.2,0.9575757575757576,25.396459444543158,25.271634005616566,25.396459444543158,33.0
1,1002,3,1,74.19999999999999,0.7494949494949493,24.94533506903392,24.94533506903392,26.542974607052376,33.0
1,1006,3,2,81.0,0.8181818181818182,25.15267705562276,25.15267705562276,25.161644915755947,33.0
1,1021,3,3,83.39999999999999,0.8424242424242423,24.944259921444612,24.944259921444612,25.0580026445267,33.0
1,1037,3,4,91.6,0.9252525252525252,25.00505028234481,24.883788604306535,25.00505028234481,33.0
1,1502,4,1,95.8,0.7257575757575757,24.998891974764312,24.951218367657923,24.998891974764312,33.0
1,1515,4,2,102.19999999999999,0.7742424242424242,24.960089380330324,24.726965797448088,24.960089380330324,33.0
1,1528,4,3,112.8,0.8545454545454545,24.9850531567714,24.9850531567714,25.360507284668564,33.0
1,1537,4,4,114.8,0.8696969696969696,25.054661124826392,25.054661124826392,25.29627017197483,33.0
1,1553,4,5,115.6,0.8757575757575757,24.772736960162845,24.772736960162845,24.95335384126278,33.0
1,2007,5,1,116.6,0.7066666666666667,24.93956707092791,24.93956707092791,24.95297953494718,33.0
1,2011,5,2,123.0,0.7454545454545455,24.95061820170163,24.884158694371404,24.95061820170163,33.0
1,2034,5,3,127.6,0.7733333333333333,24.99047672537268,24.99047672537268,25.02900434129814,33.0
1,2041,5,4,138.39999999999998,0.8387878787878786,24.933308229008524,24.861290613373853,24.933308229008524,33.0
1,2079,5,5,140.60000000000002,0.8521212121212123,25.0154249060421,25.0154249060421,25.14856954796067,33.0
1,2514,6,1,146.8,0.7414141414141415,25.00457811906531,24.93596376091956,25.00457811906531,33.0
1,2522,6,2,147.8,0.7464646464646465,24.929990925344118,24.902838868677918,24.929990925344118,33.0
1,2537,6,3,158.2,0.7989898989898989,24.94582490407456,24.882989635679348,24.94582490407456,33.0
1,2560,6,4,160.8,0.8121212121212121,24.88666436830565,24.794530168763572,24.88666436830565,33.0
1,3008,7,1,169.40000000000003,0.7333333333333335,24.81234396630599,24.788163897828753,24.81234396630599,33.0
1,3014,7,2,175.8,0.7610389610389611,24.73522628351035,24.708150315755773,24.73522628351035,33.0
1,3030,7,3,176.8,0.7653679653679654,24.743784364200216,24.587797052848572,24.743784364200216,33.0
1,3041,7,4,187.59999999999997,0.812121212121212,24.824370167283227,24.774495219532035,24.824370167283227,33.0
1,3049,7,5,191.79999999999995,0.8303030303030301,25.21280632465257,24.91036871937834,25.21280632465257,33.0
1,3501,8,1,194.39999999999998,0.7363636363636363,25.158062943683618,24.962907671762483,25.158062943683618,33.0
1,3509,8,2,203.2,0.7696969696969697,25.213376129319506,25.194847902049414,25.213376129319506,33.0
1,3515,8,3,207.59999999999997,0.7863636363636363,24.942357748312073,24.790113958914993,24.942357748312073,33.0
1,3523,8,4,213.8,0.8098484848484849,25.195922995766242,24.953809667614333,25.195922995766242,33.0
1,3561,8,5,224.8,0.8515151515151516,25.018500203089,24.930619879036243,25.018500203089,33.0
1,4003,9,1,233.8,0.7872053872053872,24.985745615857624,24.985745615857624,25.084234976120765,33.0
1,4010,9,2,234.39999999999998,0.7892255892255892,24.96657643224333,24.8969024057489,24.96657643224333,33.0
1,4016,9,3,240.59999999999997,0.81010101010101,25.382527363996076,25.118692917064873,25.382527363996076,33.0
1,4029,9,4,250.39999999999998,0.843097643097643,25.37751766194273,25.37751766194273,25.426474756380156,33.0
1,4037,9,5,254.79999999999995,0.8579124579124577,25.236610752537057,25.006908224262492,25.236610752537057,33.0
1,4066,9,6,257.6,0.8673400673400674,25.053703970525813,24.909904553007628,25.053703970525813,33.0
1,4507,10,1,263.8,0.7993939393939394,24.959628629888186,24.959628629888186,24.96717177927119,33.0
1,4509,10,2,268.2,0.8127272727272727,24.686750269706515,24.686750269706515,24.906817511020055,33.0
1,4511,10,3,270.8,0.8206060606060607,24.818168398948785,24.596312537726877,24.818168398948785,33.0
1,4542,10,4,279.6,0.8472727272727273,25.009612491649772,25.009612491649772,25.121559458521947,33.0
2,6,1,1,10.600000000000001,0.3212121212121213,26.264135167062243,26.264135167062243,33.094649257628205,33.0
2,17,1,2,15.400000000000002,0.46666666666666673,25.55665853090543,25.55665853090543,26.05316310075265,33.0
2,28,1,3,23.8,0.7212121212121212,25.10236168427482,25.10236168427482,27.845188380289315,33.0
2,506,2,1,34.8,0.5272727272727272,24.83834660414588,24.83834660414588,28.770956927101146,33.0
2,527,2,2,43.2,0.6545454545454545,24.66926712573028,24.66926712573028,26.156653541653718,33.0
2,1013,3,1,54.0,0.5454545454545454,24.65576991701923,24.65576991701923,26.976542343182356,33.0
2,1047,3,2,62.2,0.6282828282828283,24.923963216446875,24.865387713240995,24.923963216446875,33.0
2,1054,3,3,62.8,0.6343434343434343,24.77842384941887,24.65667066950163,24.77842384941887,33.0
2,1064,3,4,68.80000000000001,0.6949494949494951,25.134049941424177,25.03299565272645,25.134049941424177,33.0
2,1076,3,5,72.60000000000001,0.7333333333333334,25.209223831576423,25.209223831576423,25.445079559387946,33.0
2,1092,3,6,75.60000000000001,0.7636363636363637,25.04706520594658,25.04706520594658,25.1831928019966,33.0
2,1502,4,1,82.60000000000001,0.6257575757575758,25.020499049009484,25.020499049009484,25.042529869873267,33.0
2,1516,4,2,85.4,0.646969696969697,24.89721236145079,24.840423214974415,24.89721236145079,33.0
2,1537,4,3,94.0,0.7121212121212122,24.775436625793606,24.718616559117645,24.775436625793606,33.0
2,1542,4,4,98.2,0.743939393939394,24.817439879908743,24.817439879908743,24.955209307522857,33.0
2,1549,4,5,98.6,0.746969696969697,24.791342531574266,24.758660563679634,24.791342531574266,33.0
2,2005,5,1,102.6,0.6218181818181818,25.026198828568752,25.026198828568752,25.169729910958075,33.0
2,2022,5,2,111.00000000000001,0.6727272727272728,25.141581305110765,25.086290697614686,25.141581305110765,33.0
2,2027,5,3,116.80000000000001,0.707878787878788,25.30185559583394,25.208119626556588,25.30185559583394,33.0
2,2029,5,4,119.00000000000001,0.7212121212121213,25.403176419427258,25.33435413276815,25.403176419427258,33.0
2,2041,5,5,130.0,0.7878787878787878,24.97687600202675,24.97687600202675,25.340058000630812,33.0
2,2066,5,6,130.8,0.7927272727272728,24.92315352686953,24.92315352686953,24.93151701987193,33.0
2,2513,6,1,141.60000000000002,0.7151515151515153,24.240967893156114,24.240967893156114,24.996980809983977,33.0
2,2516,6,2,146.20000000000002,0.7383838383838385,24.45269032538982,24.431146094076006,24.45269032538982,33.0
2,2541,6,3,146.60000000000002,0.7404040404040405,24.783068647276075,24.783068647276075,24.99430927261204,33.0
2,2585,6,4,149.60000000000002,0.7555555555555556,25.0420113095053,25.0420113095053,25.16431963628529,33.0
2,2607,6,5,155.8,0.7868686868686869,24.986679672946064,24.986679672946064,25.021978906284758,33.0
2,3006,7,1,165.8,0.7177489177489178,25.03590273506971,25.03590273506971,25.062920990596158,33.0
2,3014,7,2,174.2,0.7541125541125541,24.63708119008468,24.63708119008468,24.66844276285804,33.0
2,3022,7,3,178.8,0.7740259740259741,24.6844537181927,24.519468748963376,24.6844537181927,33.0
2,3036,7,4,179.60000000000002,0.7774891774891776,24.918790788270634,24.918790788270634,24.93093065238961,33.0
2,3066,7,5,185.80000000000004,0.8043290043290044,24.9783495417624,24.923198408213636,24.9783495417624,33.0
2,3111,7,6,188.8,0.8173160173160173,25.08652135688824,25.046569400369226,25.08652135688824,33.0
2,3519,8,1,191.60000000000002,0.7257575757575758,25.000952818313326,24.76077167089424,25.000952818313326,33.0
2,3537,8,2,196.00000000000003,0.7424242424242425,25.015065904112674,25.015065904112674,25.105108729357493,33.0
2,3548,8,3,202.60000000000002,0.7674242424242426,25.05240273521627,25.03635171057644,25.05240273521627,33.0
2,3552,8,4,210.60000000000002,0.7977272727272728,25.4171337140955,25.05827368666163,25.4171337140955,33.0
2,3581,8,5,220.8,0.8363636363636364,25.321173216019638,25.31142411104051,25.321173216019638,33.0
2,4005,9,1,221.8,0.7468013468013468,24.959476279304614,24.94686178745218,24.959476279304614,33.0
2,4012,9,2,232.39999999999998,0.7824915824915825,25.144039725238,25.144039725238,25.1759841325293,33.0
2,4020,9,3,236.60000000000002,0.7966329966329967,25.141056595164198,24.99800701410887,25.141056595164198,33.0
2,4036,9,4,239.4,0.806060606060606,25.217233640331663,25.175527300489403,25.217233640331663,33.0
2,4066,9,5,247.39999999999998,0.832996632996633,25.229988308084035,25.229988308084035,25.398527022539977,33.0
2,4506,10,1,251.59999999999997,0.7624242424242423,25.08935508440227,24.89063231845476,25.08935508440227,33.0
